,id,sentiment,tweet,label
0,628949369883000832,negative,dear the newOofice for Mac is great and al but no Lync update Cmon,-1
1,628976607420645377,negative, how about you make a system that doesnt eat my frigin discs This is the nd time this has hapened and I am so sick of it,-1
2,629023169169518592,negative,I may be ignorant on this isue but should we celebrate parental leave changes Doesnt the gender divide sugest ,-1
3,629179223232479232,negative,Thanks to I just may be switching over to ,-1
4,629186282179153920,neutral,If I make a game as a windows Universal Ap Wil xboxone owners be able to download and play it in November ,0
5,629226490152914944,positive,Microsoft I may not prefer your gaming branch of busines But you do make a damn fine operating system Windows ,1
6,629345637155360768,negative, I wil be downgrading and let Windows be out for almost the st yr b trying it again Windowsfail,-1
7,629394528336637953,negative, nd computer with same eror Windowsfail Gues we wil shelve this until SP ,-1
8,629650766580609026,positive,Just ordered my st ever tablet Surface Pro iGB GB SD Hopefuly it works out for dev to replace my laptop ,1
9,629797991826722816,negative,After atempting a reinstal it stil bricks says Windows canot finish instaling or somesuch may have cost me ,-1
10,630159517058142208,positive,Sunday morning quiet day so time to welcome in Windows ,1
11,630542330827771904,negative,Did break Windows Was working fine on Wednesday but now I cant get pased the login scren without it frezing up,-1
12,630636736746422272,negative, spent over mins amp gave up coz it changes just before you print every time Cmon team Earn your dosh pls,-1
13,630807124872970240,neutral, the reason I ask is because it may be the manufacturers fault and they could help you,0
14,630818265799921664,positive,Inovation for jobs is just around the corner to be exact next Wednesday at ,1
15,630909171437801472,neutral,OK this is my pure speculation owns the cloud compute tech is utilizing the tech rd party devs is open to use,0
16,630982270409572352,neutral,We are stil taking registrations for our Education Technology Update with and on August Visit ,0
17,631104156187627520,negative,For the st time has a High Startup impact Does anyone at have a clue WindowsFail ,-1
18,631223085476261890,negative,tens st company failed miserably When Gates amp tried to sel the product it wouldnt work nevergiveup ,-1
19,631368262979297281,positive,Vote for to become the th Global non profit partner of for us to UpgradeYourWorld together ,1
20,631521079245307904,positive,Top most searched for BacktoSchol topics the list may surprise you backtoschol ,1
21,631543121407442946,negative, suport for has ben terible On the phone for an hour then got droped So far not worth the headache May ask for refund,-1
22,631696872323850240,positive, Cant wait to se you up here I wil be at the race on sun,1
23,631792365590695936,negative,Againjust like Windows makes wo the start menu their best customers want rd party ap neded ,-1
24,631842974268305408,positive, isntal the newest version and you may chance your mind,1
25,631843393971204097,positive, We have an IOT workshop by at PM on the Friday definitely worth going for inspiration HackThePlanet,1
26,631936716522278912,neutral, the option should be in Windows update Youve got a month Clean instal may be beter,0
27,632374683334258688,negative,Hey I reserved my copy of back in June but i havent ben invited to download Any updates on the timeline,-1
28,632536348419690496,negative, Im stil using Vista on one amp Win on another Vista is a dinosaur unfortunately I may use a fre with limits,-1
29,632805868334153728,negative, Is it normal that it takes hours to check the email name for creating an microsoft acount nd try,-1
30,632810315227467776,neutral, Thats confidential and privileged information sir No mater how great the sex may or may not be,0
31,632949742750687232,neutral, MBA casestudy Namaste gogle and CEOs but Multiculturals mtrMay B the era of Bad Translations wd B Over,0
32,632983468188696576,negative, you may want to fix this ,-1
33,633041928922132480,negative,After minutes of being on hold with in India Adrian wants to transfer my cal again rd time WindowsFail,-1
34,633119630417129476,negative, On hold with suport for minutes now Cmon,-1
35,633500866096574464,negative,Beyond frustrated with my Xbox right now and that as of June doesnt suport it Gota find someone else to fix the drive,-1
